Handle,Variant SKU,Title,Vendor,Product Type,Variant Price,Cost per item,Compare At Price,Variant Barcode,Weight,Weight Unit,Dimensions,Variant Inventory Qty,Stock Status,Published,Variant Taxable,Image Src,Body (HTML),Tags,Updated At,Supplier Ref
mixing-bowl-nw-1225,NW-1225,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060000601848,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1225.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T03:30:00Z,NW/0075
notebook-nw-1228,NW-1228,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060000609769,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1228.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T04:30:00Z,NW/0076
deck-brush-nw-1231,NW-1231,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060000617689,340,g,300mm x 200mm x 100mm,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1231.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T05:30:00Z,NW/0077
rope-ladder-nw-1234,NW-1234,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060000625608,2.5,kg,30 × 20 × 10 cm,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1234.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T06:30:00Z,NW/0078
tote-nw-1237,NW-1237,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060000633528,500 g,,1.2 x 0.4 x 0.4 m,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1237.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T07:30:00Z,NW/0079
hand-plane-nw-1240,NW-1240,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060000641431,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1240.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T08:30:00Z,NW/0080
tea-caddy-nw-1243,NW-1243,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060000649352,12 oz,,300mm x 200mm x 100mm,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1243.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T00:30:00Z,NW/0081
ledger-nw-1246,NW-1246,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060000657272,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1246.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T01:30:00Z,NW/0082
fender-nw-1249,NW-1249,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060000665192,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1249.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T02:30:00Z,NW/0083
mallet-nw-1252,NW-1252,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060000673111,2.5,kg,12 x 8 x 4 in,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1252.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T03:30:00Z,NW/0084
colander-nw-1255,NW-1255,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060000681031,500 g,,300mm x 200mm x 100mm,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1255.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T04:30:00Z,NW/0085
sketchbook-nw-1258,NW-1258,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060000688955,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1258.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T05:30:00Z,NW/0086
bilge-pump-nw-1261,NW-1261,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060000696875,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1261.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T06:30:00Z,NW/0087
tool-roll-nw-1264,NW-1264,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060000704792,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1264.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T07:30:00Z,NW/0088
crate-nw-1267,NW-1267,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060000712711,340,g,300mm x 200mm x 100mm,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1267.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T08:30:00Z,NW/0089
head-torch-nw-1270,NW-1270,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060000720624,2.5,kg,30 × 20 × 10 cm,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1270.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T00:30:00Z,NW/0090
bench-hook-nw-1273,NW-1273,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060000728545,500 g,,1.2 x 0.4 x 0.4 m,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1273.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T01:30:00Z,NW/0091
butter-dish-nw-1276,NW-1276,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060000736465,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1276.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T02:30:00Z,NW/0092
index-cards-nw-1279,NW-1279,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060000744385,12 oz,,300mm x 200mm x 100mm,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1279.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T03:30:00Z,NW/0093
cleat-nw-1282,NW-1282,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060000752304,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1282.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T04:30:00Z,NW/0094
bin-nw-1285,NW-1285,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060000760224,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1285.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T05:30:00Z,NW/0095
lantern-nw-1288,NW-1288,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060000768145,2.5,kg,12 x 8 x 4 in,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1288.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T06:30:00Z,NW/0096
dry-bag-nw-1291,NW-1291,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060000776065,500 g,,300mm x 200mm x 100mm,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1291.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T07:30:00Z,NW/0097
chisel-nw-1294,NW-1294,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060000783988,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1294.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T08:30:00Z,NW/0098
mixing-bowl-nw-1297,NW-1297,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060000791907,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1297.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T00:30:00Z,NW/0099
notebook-nw-1300,NW-1300,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060000799811,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1300.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T01:30:00Z,NW/0100
deck-brush-nw-1303,NW-1303,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060000807738,340,g,300mm x 200mm x 100mm,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1303.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T02:30:00Z,NW/0101
rope-ladder-nw-1306,NW-1306,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060000815658,2.5,kg,30 × 20 × 10 cm,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1306.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T03:30:00Z,NW/0102
tote-nw-1309,NW-1309,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060000823578,500 g,,1.2 x 0.4 x 0.4 m,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1309.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T04:30:00Z,NW/0103
hand-plane-nw-1312,NW-1312,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060000831498,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1312.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T05:30:00Z,NW/0104
tea-caddy-nw-1315,NW-1315,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060000839418,12 oz,,300mm x 200mm x 100mm,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1315.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T06:30:00Z,NW/0105
ledger-nw-1318,NW-1318,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060000847338,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1318.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T07:30:00Z,NW/0106
fender-nw-1321,NW-1321,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060000855258,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1321.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T08:30:00Z,NW/0107
mallet-nw-1324,NW-1324,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060000863178,2.5,kg,12 x 8 x 4 in,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1324.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T00:30:00Z,NW/0108
colander-nw-1327,NW-1327,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060000871098,500 g,,300mm x 200mm x 100mm,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1327.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T01:30:00Z,NW/0109
sketchbook-nw-1330,NW-1330,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060000879001,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1330.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T02:30:00Z,NW/0110
bilge-pump-nw-1333,NW-1333,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060000886924,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1333.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T03:30:00Z,NW/0111
tool-roll-nw-1336,NW-1336,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060000894844,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1336.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T04:30:00Z,NW/0112
crate-nw-1339,NW-1339,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060000902761,340,g,300mm x 200mm x 100mm,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1339.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T05:30:00Z,NW/0113
head-torch-nw-1342,NW-1342,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060000910681,2.5,kg,30 × 20 × 10 cm,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1342.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T06:30:00Z,NW/0114
bench-hook-nw-1345,NW-1345,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060000918601,500 g,,1.2 x 0.4 x 0.4 m,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1345.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T07:30:00Z,NW/0115
butter-dish-nw-1348,NW-1348,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060000926521,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1348.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T08:30:00Z,NW/0116
index-cards-nw-1351,NW-1351,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060000934441,12 oz,,300mm x 200mm x 100mm,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1351.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T00:30:00Z,NW/0117
cleat-nw-1354,NW-1354,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060000942361,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1354.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T01:30:00Z,NW/0118
bin-nw-1357,NW-1357,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060000950281,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1357.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T02:30:00Z,NW/0119
lantern-nw-1360,NW-1360,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060000958195,2.5,kg,12 x 8 x 4 in,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1360.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T03:30:00Z,NW/0120
dry-bag-nw-1363,NW-1363,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060000966114,500 g,,300mm x 200mm x 100mm,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1363.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T04:30:00Z,NW/0121
chisel-nw-1366,NW-1366,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060000974034,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1366.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T05:30:00Z,NW/0122
mixing-bowl-nw-1369,NW-1369,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060000981957,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1369.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T06:30:00Z,NW/0123
notebook-nw-1372,NW-1372,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060000989878,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1372.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T07:30:00Z,NW/0124
deck-brush-nw-1375,NW-1375,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060000997798,340,g,300mm x 200mm x 100mm,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1375.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T08:30:00Z,NW/0125
rope-ladder-nw-1378,NW-1378,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060001005713,2.5,kg,30 × 20 × 10 cm,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1378.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T00:30:00Z,NW/0126
tote-nw-1381,NW-1381,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060001013633,500 g,,1.2 x 0.4 x 0.4 m,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1381.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T01:30:00Z,NW/0127
hand-plane-nw-1384,NW-1384,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060001021553,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1384.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T02:30:00Z,NW/0128
tea-caddy-nw-1387,NW-1387,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060001029474,12 oz,,300mm x 200mm x 100mm,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1387.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T03:30:00Z,NW/0129
ledger-nw-1390,NW-1390,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060001037387,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1390.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T04:30:00Z,NW/0130
fender-nw-1393,NW-1393,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060001045306,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1393.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T05:30:00Z,NW/0131
mallet-nw-1396,NW-1396,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060001053226,2.5,kg,12 x 8 x 4 in,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1396.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T06:30:00Z,NW/0132
colander-nw-1399,NW-1399,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060001061146,500 g,,300mm x 200mm x 100mm,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1399.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T07:30:00Z,NW/0133
sketchbook-nw-1402,NW-1402,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060001069067,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1402.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T08:30:00Z,NW/0134
bilge-pump-nw-1405,NW-1405,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060001076980,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1405.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T00:30:00Z,NW/0135
tool-roll-nw-1408,NW-1408,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060001084909,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1408.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T01:30:00Z,NW/0136
crate-nw-1411,NW-1411,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060001092829,340,g,300mm x 200mm x 100mm,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1411.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T02:30:00Z,NW/0137
head-torch-nw-1414,NW-1414,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060001100746,2.5,kg,30 × 20 × 10 cm,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1414.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T03:30:00Z,NW/0138
bench-hook-nw-1417,NW-1417,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060001108667,500 g,,1.2 x 0.4 x 0.4 m,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1417.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T04:30:00Z,NW/0139
butter-dish-nw-1420,NW-1420,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060001116570,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1420.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T05:30:00Z,NW/0140
index-cards-nw-1423,NW-1423,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060001124490,12 oz,,300mm x 200mm x 100mm,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1423.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T06:30:00Z,NW/0141
cleat-nw-1426,NW-1426,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060001132419,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1426.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T07:30:00Z,NW/0142
bin-nw-1429,NW-1429,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060001140339,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1429.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T08:30:00Z,NW/0143
lantern-nw-1432,NW-1432,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060001148250,2.5,kg,12 x 8 x 4 in,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1432.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T00:30:00Z,NW/0144
dry-bag-nw-1435,NW-1435,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060001156170,500 g,,300mm x 200mm x 100mm,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1435.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T01:30:00Z,NW/0145
chisel-nw-1438,NW-1438,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060001164090,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1438.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T02:30:00Z,NW/0146
mixing-bowl-nw-1441,NW-1441,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060001172019,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1441.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T03:30:00Z,NW/0147
notebook-nw-1444,NW-1444,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060001179933,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1444.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T04:30:00Z,NW/0148
deck-brush-nw-1447,NW-1447,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060001187853,340,g,300mm x 200mm x 100mm,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1447.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T05:30:00Z,NW/0149
rope-ladder-nw-1450,NW-1450,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060001195766,2.5,kg,30 × 20 × 10 cm,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1450.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T06:30:00Z,NW/0150
